Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Embodied,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Hyd_Embodied
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,11.2,,12,1000,4681.479746,2044.905882,1120.636364,1515.9375,4681.479746
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,14,,14,1000,4872.950334,2236.376471,1120.636364,1515.9375,4872.950334
,Mass-H1,Mass,H1,CH,HYD200,HYD200,8.5,,9,200,2622.251471,1585.376471,0,1036.875,2622.251471
,Mass-H1,Mass,H1,CH,HYD200,HYD200,11.2,,12,200,3081.780882,2044.905882,0,1036.875,3081.780882
,Mass-H1,Mass,H1,CH,HYD200,HYD200,14,,14,200,3273.251471,2236.376471,0,1036.875,3273.251471
,Mass-H1,Mass,H1,CH,HYD500,HYD500,5,,5,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,CH,HYD500,HYD500,6,,6,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,CH,HYD500,HYD500,8.5,,9,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,CH,HYD500,HYD500,14,,14,500,3768.660561,2236.376471,495.4090909,1036.875,3768.660561
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,5,,5,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,6,,6,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,8.5,,9,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,11.2,,12,1000,4202.417246,2044.905882,1120.636364,1036.875,4202.417246
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,14,,14,1000,4393.887834,2236.376471,1120.636364,1036.875,4393.887834
,Mod-H1,Mod,H1,CH,HYD200,HYD200,8.5,,9,200,3239.126471,1585.376471,0,1653.75,3239.126471
,Mod-H1,Mod,H1,CH,HYD200,HYD200,11.2,,12,200,3698.655882,2044.905882,0,1653.75,3698.655882
,Mod-H1,Mod,H1,CH,HYD200,HYD200,14,,14,200,3890.126471,2236.376471,0,1653.75,3890.126471
,Mod-H1,Mod,H1,CH,HYD500,HYD500,5,,5,500,3734.535561,1585.376471,495.4090909,1653.75,3734.535561
,Mod-H1,Mod,H1,CH,HYD500,HYD500,6,,6,500,3734.535561,1585.376471,495.4090909,1653.75,3734.535561
,Mod-H1,Mod,H1,CH,HYD500,HYD500,8.5,,9,500,3734.535561,1585.376471,495.4090909,1653.75,3734.535561
,Mod-H1,Mod,H1,CH,HYD500,HYD500,14,,14,500,4385.535561,2236.376471,495.4090909,1653.75,4385.535561
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,5,,5,1000,4359.762834,1585.376471,1120.636364,1653.75,4359.762834
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,6,,6,1000,4359.762834,1585.376471,1120.636364,1653.75,4359.762834
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,8.5,,9,1000,4359.762834,1585.376471,1120.636364,1653.75,4359.762834
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,11.2,,12,1000,4819.292246,2044.905882,1120.636364,1653.75,4819.292246
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,14,,14,1000,5010.762834,2236.376471,1120.636364,1653.75,5010.762834
