house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),CS_code,P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mod,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-CH-5-HYD200-HYD200-Crenew-2024-Hhigh,5265.993616,13972.46667,2.093579377,511.6210412,4008.251471,HYD200-HYD200
Mod,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-CH-5-HYD200-HYD200-Crenew-2024-Hhigh,4272.803265,11505.95327,1.823057504,415.7382527,3698.655882,HYD200-HYD200
Mod,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-CH-5-HYD200-HYD200-Crenew-2024-Hhigh,4404.938611,11970,2.226488878,435.7316122,4008.251471,HYD200-HYD200
Mod,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-CH-5-HYD200-HYD200-Crenew-2024-Hhigh,3763.401751,10405.3582,1.937385511,371.3098426,3698.655882,HYD200-HYD200
Mass,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-AK-5-HYD200-HYD200-Crenew-2024-Hhigh,1574.880649,5452.5,0.565222699,145.3466635,3121.155882,HYD200-HYD200
Mass,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-AK-5-HYD200-HYD200-Crenew-2024-Hhigh,1131.611338,3535.15,0.363493353,99.33252912,2622.251471,HYD200-HYD200
Mass,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-AK-5-HYD200-HYD200-Crenew-2024-Hhigh,1465.642445,5153.666667,0.604475303,136.4352065,3121.155882,HYD200-HYD200
Mass,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-AK-5-HYD200-HYD200-Crenew-2024-Hhigh,1127.922578,3526.225,0.365263381,98.95249892,2622.251471,HYD200-HYD200
Mass,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-CH-5-HYD200-HYD200-Crenew-2024-Hhigh,3652.502685,9805.133333,1.245809764,363.9165401,3489.813971,HYD200-HYD200
Mass,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-CH-5-HYD200-HYD200-Crenew-2024-Hhigh,1717.641721,4958.358333,0.724804641,172.1339561,3081.780882,HYD200-HYD200
