house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mod,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,37416.914628,1917.73475897,NA,NA,4221.950334,6139.68509297
Mod,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,40469.216178,2082.29437651,NA,NA,4221.950334,6304.24471051
Mod,H1,Ideal,AK,Hhigh,HYD200-HYD200,3,NA,NA,32819.85763,2051.22212105,NA,NA,3101.313971,5152.536092050001
Mod,H1,Ideal,AK,Hhigh,HYD200-HYD200,4,NA,NA,35953.20567,2206.43409435,NA,NA,3101.313971,5307.748065350001
Mod,H1,Ideal,AK,Hhigh,HYD200-HYD200,5,NA,NA,39222.633531,2396.67849915,NA,NA,3101.313971,5497.99247015
Mod,H1,Ideal,AK,Hhigh,HYD500-HYD500,3,NA,NA,32622.01823,1885.1591385699999,NA,NA,3596.723061,5481.88219957
Mod,H1,Ideal,AK,Hhigh,HYD500-HYD500,4,NA,NA,35548.645817,2022.83690541,NA,NA,3596.723061,5619.55996641
Mod,H1,Ideal,AK,Hhigh,HYD500-HYD500,5,NA,NA,38630.279478,2197.7230996,NA,NA,3596.723061,5794.4461606
Mod,H1,Ideal,AK,Hlow,HYD1000-HYD1000,3,NA,NA,34382.951220999996,2819.0685005,NA,NA,4221.950334,7041.018834500001
Mod,H1,Ideal,AK,Hlow,HYD1000-HYD1000,4,NA,NA,37421.178412,2969.8899125,NA,NA,4221.950334,7191.8402465
Mod,H1,Ideal,AK,Hlow,HYD1000-HYD1000,5,NA,NA,40473.347173,3165.5046378,NA,NA,4221.950334,7387.4549718
Mod,H1,Ideal,AK,Hlow,HYD200-HYD200,3,NA,NA,32820.78365,3115.9713166,NA,NA,3101.313971,6217.2852876
Mod,H1,Ideal,AK,Hlow,HYD200-HYD200,4,NA,NA,35952.901037,3295.2199793,NA,NA,3101.313971,6396.5339503
Mod,H1,Ideal,AK,Hlow,HYD200-HYD200,5,NA,NA,39222.638807,3511.9812604,NA,NA,3101.313971,6613.2952313999995
Mod,H1,Ideal,AK,Hlow,HYD500-HYD500,3,NA,NA,32623.803147000002,2939.0130094,NA,NA,3596.723061,6535.7360704
Mod,H1,Ideal,AK,Hlow,HYD500-HYD500,4,NA,NA,35550.908409999996,3102.3569107000003,NA,NA,3596.723061,6699.079971700001
