house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,3.5,NA,NA,2024,481,2024,668.4851098,668.4851098,NA,NA,0.280849937,110.277852,0.164966804,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,110.277852,26.43529412,668.4851098,0.280849937
Mass,H1,Ideal,CH,Hlow,Rl,NA,NA,5,NA,NA,2024,469,2024,1250.165598,1250.165598,NA,NA,0.830618951,181.7881707,0.145411273,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,181.7881707,26.43529412,1250.165598,0.830618951
Mass,H1,Real,AK,Hhigh,HP,NA,NA,NA,6.5,NA,2024,900,2024,133.3106768,530.2778946,3.977760125,NA,0.081080262,13.35745366,0.100197928,NA,NA,NA,NA,C0,NA,NA,NA,NA,858.0044118,13.35745366,42.900220589999996,133.3106768,0.081080262
Mass,H1,Real,AK,Hhigh,HPl,NA,NA,NA,5,NA,2024,708,2024,120.2443884,451.7643111,3.757051095,NA,0.075756903,11.84656125,0.098520699,NA,NA,NA,NA,C0,NA,NA,NA,NA,741.1764706,11.84656125,37.05882353,120.2443884,0.075756903
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,5573,2024,945.1301733,3060.524044,3.312545639,861.4321648,0.345131064,83.61714865,0.088471568,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,83.61714865,187.1443917,945.1301733,0.345131064
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,5589,2024,1083.054517,3530.518789,3.324895917,852.1081541,0.36446211,96.44436137,0.089048483,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,96.44436137,187.1443917,1083.054517,0.36446211
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,5605,2024,1222.876568,4002.205489,3.330548848,845.5635167,0.4103511,108.496477,0.088722345,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,108.496477,187.1443917,1222.876568,0.4103511
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2024,5477,2024,834.8609322,2551.558333,3.135941632,346.4842293,0.311540681,74.55756804,0.089305374,11.61972745,1,-265.3832572,62,C0,9,1585.376471,0,1036.875,2622.251471,74.55756804,131.11257355,834.8609322,0.311540681
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2024,5493,2024,976.7931151,3029.966667,3.170807601,345.5463935,0.293939852,87.67336823,0.089756333,83.81209042,7,-177.7636724,57,C0,9,1585.376471,0,1036.875,2622.251471,87.67336823,131.11257355,976.7931151,0.293939852
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2024,5509,2024,1124.810989,3508.516667,3.17915646,344.8187406,0.414146937,100.2616131,0.08913641,158.9013232,6,-166.5289549,59,C0,9,1585.376471,0,1036.875,2622.251471,100.2616131,131.11257355,1124.810989,0.414146937
