house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mass,Nom,Ideal,CH,Hlow,HYD200-HYD200,3,NA,NA,74080.561126,7086.6522399,NA,NA,3489.813971,10576.4662109
Mass,Nom,Ideal,CH,Hlow,HYD200-HYD200,4,NA,NA,77128.533944,7263.5203827,NA,NA,3489.813971,10753.3343537
Mass,Nom,Ideal,CH,Hlow,HYD200-HYD200,5,NA,NA,80324.589444,7472.0904344,NA,NA,3489.813971,10961.9044054
Mass,Nom,Ideal,CH,Hlow,HYD500-HYD500,3,NA,NA,76010.397782,7271.365948,NA,NA,3985.223061,11256.589009
Mass,Nom,Ideal,CH,Hlow,HYD500-HYD500,4,NA,NA,79073.18894200001,7454.4340565,NA,NA,3985.223061,11439.6571175
Mass,Nom,Ideal,CH,Hlow,HYD500-HYD500,5,NA,NA,82267.803376,7666.0249817,NA,NA,3985.223061,11651.248042700001
Mass,Nom,Real,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,34014.749560000004,2271.0928642,NA,NA,3782.262834,6053.3556982
Mass,Nom,Real,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,36955.735102,2428.1569333,NA,NA,3782.262834,6210.4197673
Mass,Nom,Real,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,40045.623552,2611.4964936,NA,NA,3782.262834,6393.759327600001
Mass,Nom,Real,AK,Hhigh,HYD200-HYD200,3,NA,NA,27035.676052,1807.72174809,NA,NA,3121.155882,4928.87763009
Mass,Nom,Real,AK,Hhigh,HYD200-HYD200,4,NA,NA,29558.741256,1930.89813434,NA,NA,3121.155882,5052.05401634
Mass,Nom,Real,AK,Hhigh,HYD200-HYD200,5,NA,NA,32197.617364,2079.96822875,NA,NA,3121.155882,5201.12411075
Mass,Nom,Real,AK,Hhigh,HYD500-HYD500,3,NA,NA,33564.671338,2244.7160902,NA,NA,3157.035561,5401.7516512
Mass,Nom,Real,AK,Hhigh,HYD500-HYD500,4,NA,NA,36679.603444,2405.2961105,NA,NA,3157.035561,5562.3316715
Mass,Nom,Real,AK,Hhigh,HYD500-HYD500,5,NA,NA,39930.967164,2589.8045765,NA,NA,3157.035561,5746.8401375
Mass,Nom,Real,AK,Hlow,HYD1000-HYD1000,3,NA,NA,34014.749560000004,3102.8498145,NA,NA,3782.262834,6885.1126485
Mass,Nom,Real,AK,Hlow,HYD1000-HYD1000,4,NA,NA,36955.735102,3279.7050919,NA,NA,3782.262834,7061.9679259
Mass,Nom,Real,AK,Hlow,HYD1000-HYD1000,5,NA,NA,40045.623552,3488.7069578,NA,NA,3782.262834,7270.9697918
Mass,Nom,Real,AK,Hlow,HYD200-HYD200,3,NA,NA,27035.676052,2516.09731875,NA,NA,3121.155882,5637.253200749999
Mass,Nom,Real,AK,Hlow,HYD200-HYD200,4,NA,NA,29558.741256,2659.2326743999997,NA,NA,3121.155882,5780.388556399999
Mass,Nom,Real,AK,Hlow,HYD200-HYD200,5,NA,NA,32197.617364,2833.2086927,NA,NA,3121.155882,5954.3645747
Mass,Nom,Real,AK,Hlow,HYD500-HYD500,3,NA,NA,33564.671338,3083.0078568999998,NA,NA,3157.035561,6240.0434179
Mass,Nom,Real,AK,Hlow,HYD500-HYD500,4,NA,NA,36679.603444,3264.1589532,NA,NA,3157.035561,6421.1945142
Mass,Nom,Real,AK,Hlow,HYD500-HYD500,5,NA,NA,39930.967164,3477.5231744000002,NA,NA,3157.035561,6634.5587354
Mass,Nom,Real,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,67052.169778,4853.5164694000005,NA,NA,4418.979746,9272.4962154
Mass,Nom,Real,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,70047.550122,5024.3574505,NA,NA,4418.979746,9443.3371965
Mass,Nom,Real,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,73159.216988,5216.3584665,NA,NA,4418.979746,9635.338212499999
Mass,Nom,Real,CH,Hhigh,HYD200-HYD200,3,NA,NA,62229.876258000004,4414.7600331,NA,NA,3489.813971,7904.574004100001
Mass,Nom,Real,CH,Hhigh,HYD200-HYD200,4,NA,NA,65281.305188,4568.9056805,NA,NA,3489.813971,8058.7196515
Mass,Nom,Real,CH,Hhigh,HYD200-HYD200,5,NA,NA,68470.008794,4749.8041238999995,NA,NA,3489.813971,8239.618094899999
Mass,Nom,Real,CH,Hhigh,HYD500-HYD500,3,NA,NA,64165.760736000004,4580.1893157,NA,NA,3985.223061,8565.4123767
Mass,Nom,Real,CH,Hhigh,HYD500-HYD500,4,NA,NA,67221.424732,4740.5992897999995,NA,NA,3985.223061,8725.8223508
Mass,Nom,Real,CH,Hhigh,HYD500-HYD500,5,NA,NA,70417.523638,4924.968718,NA,NA,3985.223061,8910.191779
Mass,Nom,Real,CH,Hlow,HYD1000-HYD1000,3,NA,NA,67052.169778,6376.9906426,NA,NA,4418.979746,10795.970388599999
Mass,Nom,Real,CH,Hlow,HYD1000-HYD1000,4,NA,NA,70047.550122,6569.7699002,NA,NA,4418.979746,10988.7496462
Mass,Nom,Real,CH,Hlow,HYD1000-HYD1000,5,NA,NA,73159.216988,6784.7010573,NA,NA,4418.979746,11203.6808033
Mass,Nom,Real,CH,Hlow,HYD200-HYD200,3,NA,NA,62229.876258000004,5840.6269204,NA,NA,3489.813971,9330.4408914
Mass,Nom,Real,CH,Hlow,HYD200-HYD200,4,NA,NA,65281.305188,6018.3420936,NA,NA,3489.813971,9508.1560646
Mass,Nom,Real,CH,Hlow,HYD200-HYD200,5,NA,NA,68470.008794,6227.0710341,NA,NA,3489.813971,9716.8850051
Mass,Nom,Real,CH,Hlow,HYD500-HYD500,3,NA,NA,64165.760736000004,6029.4779258,NA,NA,3985.223061,10014.7009868
Mass,Nom,Real,CH,Hlow,HYD500-HYD500,4,NA,NA,67221.424732,6212.4783018,NA,NA,3985.223061,10197.7013628
Mass,Nom,Real,CH,Hlow,HYD500-HYD500,5,NA,NA,70417.523638,6424.4706557,NA,NA,3985.223061,10409.6937167
Mod,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,34026.753948,2189.39135975,NA,NA,4221.950334,6411.341693750001
Mod,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,37057.75766,2345.35490415,NA,NA,4221.950334,6567.30523815
Mod,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,40145.47075,2526.464643,NA,NA,4221.950334,6748.414977
Mod,H1,Ideal,AK,Hhigh,HYD200-HYD200,3,NA,NA,32767.945936,2103.63599615,NA,NA,3101.313971,5204.94996715
Mod,H1,Ideal,AK,Hhigh,HYD200-HYD200,4,NA,NA,35895.467872,2255.8597311500002,NA,NA,3101.313971,5357.17370215
Mod,H1,Ideal,AK,Hhigh,HYD200-HYD200,5,NA,NA,39137.202676,2437.1309794,NA,NA,3101.313971,5538.4449504
