house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3704.7501686,42409.78093,4117.1766174,7821.926786
Mass,H1,Real,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2876.1729238000003,30343.931991999998,3389.9589702,6266.131894
Mass,H1,Real,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,3054.0699871,33300.728581999996,3389.9589702,6444.0289573
Mass,H1,Real,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3256.3495297,36381.81602,3389.9589702,6646.3084999
Mass,H1,Real,CH,Hlow,HYD500,HYD500,3,NA,6,500,2947.3290723,32344.782381999998,3429.4266171,6376.7556894
Mass,H1,Real,CH,Hlow,HYD500,HYD500,4,NA,6,500,3139.1497471,35590.919342,3429.4266171,6568.5763642
Mass,H1,Real,CH,Hlow,HYD500,HYD500,5,NA,6,500,3356.4397521,38962.445324,3429.4266171,6785.8663692
Mass,H1,Real,CH,Hlow,R,NA,NA,8.5,NA,NA,4467.8336351,39554.91188,1163.1529415,5630.9865766
Mass,H1,Real,CH,Hlow,Rb,NA,NA,3.5,NA,NA,1513.5757979500002,12041.7590986,581.5764706399999,2095.15226859
Mass,H1,Real,CH,Hlow,Rl,NA,NA,5,NA,NA,2954.257837,27513.152766,581.5764706399999,3535.83430764
Mass,Nom,Ideal,AK,Hhigh,HP,NA,NA,NA,11,NA,1059.57349331,13703.316690800002,1464.1510982999998,2523.72459161
Mass,Nom,Ideal,AK,Hhigh,HPl,NA,NA,NA,7,NA,659.62331081,8443.2140738,990.9950956399999,1650.6184064499998
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2440.8444248,36540.548704,4160.4891174,6601.3335422
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2599.8754485,39488.448956,4160.4891174,6760.3645659
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2784.3767071,42581.87087,4160.4891174,6944.865824500001
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1967.0061787700001,29446.025686,3433.2714702,5400.27764897
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,2091.00232375,31972.075014000002,3433.2714702,5524.27379395
