house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,11.2,1000,5355.091637500001,81442.89262,4860.8777205999995,10215.9693581
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,11.2,1000,5540.4196181,84613.529337,4860.8777205999995,10401.297338699998
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,14,200,5182.4477421,74117.536607,3838.7953681,9021.243110200001
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,14,200,5340.2201072,77183.750065,3838.7953681,9179.015475299999
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,14,200,5528.9440446,80406.552,3838.7953681,9367.7394127
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,14,500,5120.4496213,75622.866886,4383.7453671,9504.1949884
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,14,500,5282.0577974,78708.323699,4383.7453671,9665.803164500001
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,14,500,5474.1667147,81983.98513,4383.7453671,9857.912081800001
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,11.2,1000,7224.5978474,78454.799826,4860.8777205999995,12085.475568
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,11.2,1000,7412.6938399,81470.72487399999,4860.8777205999995,12273.5715605
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,11.2,1000,7625.2536597,84641.178669,4860.8777205999995,12486.1313803
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,3,NA,14,200,7047.3729609,74121.04708399999,3838.7953681,10886.168329
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,4,NA,14,200,7230.038759499999,77187.401106,3838.7953681,11068.8341276
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,5,NA,14,200,7444.2601572,80409.002126,3838.7953681,11283.0555253
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,3,NA,14,500,7021.9245303,75633.33131,4383.7453671,11405.6698974
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,4,NA,14,500,7210.1618959,78722.187749,4383.7453671,11593.907263000001
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,5,NA,14,500,7429.2813836000005,81996.277517,4383.7453671,11813.0267507
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,1813.33654059,33701.974141,4160.4891174,5973.825657990001
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,1935.8907089900001,36607.247272,4160.4891174,6096.379826390001
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2106.7171197,39642.01282,4160.4891174,6267.2062371
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1759.79060445,27057.798667,3433.2714702,5193.06207465
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,1887.93031662,29589.905641,3433.2714702,5321.20178682
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2043.94333255,32254.612025,3433.2714702,5477.21480275
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,1977.0503716,33464.586447,3472.7391171,5449.7894887
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2125.7406685,36571.460603,3472.7391171,5598.4797856000005
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2310.34700295,39827.7227,3472.7391171,5783.08612005
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,2652.1426125,33704.114817,4160.4891174,6812.6317299
