house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2024,3801,2024,1464.406358,4154.6,2.983579749,683.1860569,0.571271725,141.3332491,0.096512316,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,141.3332491,155.88302805,1464.406358,0.571271725
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2024,3817,2024,1611.3712,4627.2,3.0057426,676.9891228,0.558493618,155.0200152,0.096203789,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,155.0200152,155.88302805,1611.3712,0.558493618
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2024,3833,2024,1763.480631,5100.1,3.015022897,672.9379147,0.649711223,168.2163653,0.095388836,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,168.2163653,155.88302805,1763.480631,0.649711223
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,3993,2024,1613.218077,4534.868159,2.942235772,1063.8574,0.57907259,222.1823761,0.137726188,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,222.1823761,187.1443917,1613.218077,0.57907259
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,4009,2024,1761.943781,5003.386791,2.960538776,1053.500043,0.584728782,236.4039612,0.13417225,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,236.4039612,187.1443917,1761.943781,0.584728782
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,4025,2024,1911.5951910000001,5470.846636,2.973807975,1044.758528,0.633269978,253.0608713,0.13238204,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,253.0608713,187.1443917,1911.5951910000001,0.633269978
Mass,H1,Real,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2024,3897,2024,1378.130154,3879.588467,2.970105982,407.2091013,0.666925348,205.6306567,0.149209896,0,0,-291.3492721,71,Crenew,12,2044.905882,0,1036.875,3081.780882,205.6306567,154.0890441,1378.130154,0.666925348
Mass,H1,Real,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2024,3913,2024,1512.596656,4358.273933,3.025153444,406.3558538,0.657470817,219.5739156,0.14516356,41.00688339,3,-93.56383221,43,Crenew,12,2044.905882,0,1036.875,3081.780882,219.5739156,154.0890441,1512.596656,0.657470817
Mass,H1,Real,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2024,3929,2024,1653.979839,4836.604067,3.057152389,405.0398171,0.792413449,235.7173581,0.142515255,0,0,-197.4991721,75,Crenew,12,2044.905882,0,1036.875,3081.780882,235.7173581,154.0890441,1653.979839,0.792413449
Mass,H1,Real,CH,Hlow,HYD500,HYD500,3,NA,6,500,2024,3945,2024,1464.406358,4154.6,2.983579749,683.1860569,0.571271725,205.6737787,0.14044857,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,205.6737787,155.88302805,1464.406358,0.571271725
