house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,R-HP,5,1002.85173705,864.11879228,28307.289428,1866.9705293299999,1057.411765,802.9411765,1860.3529415,3727.3234708299997
Mass,H1,Ideal,AK,Hhigh,R-HPo,1,1002.85173705,273.05792178999997,17206.736012399997,1275.90965884,1057.411765,555.8823529,1613.2941179,2889.2037767399997
Mass,H1,Ideal,AK,Hhigh,R-HPo,2,1002.85173705,399.39819532,19671.273307400003,1402.24993237,1057.411765,555.8823529,1613.2941179,3015.54405027
Mass,H1,Ideal,AK,Hhigh,R-HPo,3,1002.85173705,562.03124157,22598.3858716,1564.88297862,1057.411765,648.5294118,1705.9411768,3270.82415542
Mass,H1,Ideal,AK,Hhigh,R-HPo,4,1002.85173705,755.2306354899999,26403.974051400004,1758.08237254,1057.411765,864.7058824,1922.1176474,3680.20001994
Mass,H1,Ideal,AK,Hhigh,R-HPo,5,1002.85173705,896.50412935,28881.2372046,1899.3558664,1057.411765,864.7058824,1922.1176474,3821.4735137999996
Mass,H1,Ideal,AK,Hhigh,R-R,1,1002.85173705,1109.0985507999999,34072.14778,2111.95028785,1057.411765,308.8235294,1366.2352944,3478.18558225
Mass,H1,Ideal,AK,Hhigh,R-R,2,1002.85173705,1641.43353946,44555.14778,2644.28527651,1057.411765,308.8235294,1366.2352944,4010.52057091
Mass,H1,Ideal,AK,Hhigh,R-R,3,1002.85173705,2296.2689032,56483.54778,3299.1206402499997,1057.411765,395.2941176,1452.7058826,4751.8265228499995
Mass,H1,Ideal,AK,Hhigh,R-R,4,1002.85173705,3059.0651384000003,71942.94778,4061.9168754499997,1057.411765,617.6470588,1675.0588238,5736.97569925
Mass,H1,Ideal,AK,Hhigh,R-R,5,1002.85173705,3654.8247219,82446.84778,4657.67645895,1057.411765,617.6470588,1675.0588238,6332.73528275
