house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,kgCO2_total_life,kgCO2_total_life_R
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2090.12821905,33028.806573,3450.246388,124.7612623,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,8951.556810950002,8203.65701525
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2259.09175345,34534.319589,3554.244789,127.6815907,134.8678396,619.9813155,2486.170235,469.9204571,1978.224204,9182.03752325,8524.03063385
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2405.3223807,37506.73857,3554.244789,127.6815907,134.8678396,619.9813155,2486.170235,469.9204571,1978.224204,9328.2681505,8670.2612611
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2577.7374199,40612.119114,3554.244789,127.6815907,134.8678396,619.9813155,2486.170235,469.9204571,1978.224204,9500.6831897,8842.6763003
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,3170.9562772,34872.486264,3647.361372,130.3485295,95.47431016,713.7197005,2382.605647,592.5525379,1972.462855,10140.46583636,9609.15588176
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,3337.8111271,37686.309318,3647.361372,130.3485295,95.47431016,713.7197005,2382.605647,592.5525379,1972.462855,10307.320686259998,9776.010731659999
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,3531.0385868,40638.342108,3647.361372,130.3485295,95.47431016,713.7197005,2382.605647,592.5525379,1972.462855,10500.54814596,9969.23819136
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2604.8420419,28102.442088,3450.246388,124.7612623,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,9466.270633799999,8718.3708381
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2737.3403372,30513.351204000002,3450.246388,124.7612623,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,9598.768929099999,8850.8691334
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,5,NA,11.2,200,2896.9198098,33028.806573,3450.246388,124.7612623,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,9758.348401700001,9010.448606
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,3,NA,8.5,500,3156.5415647,34534.319589,3554.244789,127.6815907,134.8678396,619.9813155,2486.170235,469.9204571,1978.224204,10079.4873345,9421.480445099998
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,4,NA,8.5,500,3323.6896595999997,37506.73857,3554.244789,127.6815907,134.8678396,619.9813155,2486.170235,469.9204571,1978.224204,10246.6354294,9588.628539999998
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,5,NA,8.5,500,3520.2765258,40612.119114,3554.244789,127.6815907,134.8678396,619.9813155,2486.170235,469.9204571,1978.224204,10443.2222956,9785.2154062
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,11.2,1000,5357.0665613,76262.645487,4406.770127,147.2745348,174.261369,866.0611122999999,3131.7973240000006,695.4998506000001,2554.45879,14083.231028400001,13335.3312327
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,11.2,1000,5514.4665325,79142.038836,4406.770127,147.2745348,174.261369,866.0611122999999,3131.7973240000006,695.4998506000001,2554.45879,14240.6309996,13492.731203899999
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,11.2,1000,5693.3132988,82107.290748,4406.770127,147.2745348,174.261369,866.0611122999999,3131.7973240000006,695.4998506000001,2554.45879,14419.477765900001,13671.5779702
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,14,200,4886.6040677,70713.262893,3914.701496,135.5104239,189.0691765,626.6597647,3200.840382,445.1136297,2586.318783,12953.385310799998,12157.317576799998
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,14,200,5026.4835987,73622.691492,3914.701496,135.5104239,189.0691765,626.6597647,3200.840382,445.1136297,2586.318783,13093.264841799999,12297.197107799999
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,14,200,5194.2804295,76673.471742,3914.701496,135.5104239,189.0691765,626.6597647,3200.840382,445.1136297,2586.318783,13261.061672599999,12464.993938599999
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,14,500,5035.8186769,72555.379701,4239.915132,143.0633851,200.5237219,757.432492,3200.840382,575.886357,2586.318783,13577.5937899,12781.5260559
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,14,500,5181.9883906,75478.953081,4239.915132,143.0633851,200.5237219,757.432492,3200.840382,575.886357,2586.318783,13723.7635036,12927.695769599999
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,14,500,5354.5472883,78528.357768,4239.915132,143.0633851,200.5237219,757.432492,3200.840382,575.886357,2586.318783,13896.3224013,13100.2546673
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,11.2,1000,7183.0468323,76262.645487,4406.770127,147.2745348,174.261369,866.0611122999999,3131.7973240000006,695.4998506000001,2554.45879,15909.2112994,15161.311503699999
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,11.2,1000,7364.6628630000005,79142.038836,4406.770127,147.2745348,174.261369,866.0611122999999,3131.7973240000006,695.4998506000001,2554.45879,16090.827330100003,15342.927534400002
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,11.2,1000,7560.7662991,82107.290748,4406.770127,147.2745348,174.261369,866.0611122999999,3131.7973240000006,695.4998506000001,2554.45879,16286.930766200001,15539.0309705
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,3,NA,14,200,6581.0633037,70713.262893,3914.701496,135.5104239,189.0691765,626.6597647,3200.840382,445.1136297,2586.318783,14647.844546799999,13851.776812799999
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,4,NA,14,200,6744.0182179,73622.691492,3914.701496,135.5104239,189.0691765,626.6597647,3200.840382,445.1136297,2586.318783,14810.799460999999,14014.731726999999
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,5,NA,14,200,6935.9880271,76673.471742,3914.701496,135.5104239,189.0691765,626.6597647,3200.840382,445.1136297,2586.318783,15002.769270199999,14206.701536199998
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,3,NA,14,500,6754.550135699999,72555.379701,4239.915132,143.0633851,200.5237219,757.432492,3200.840382,575.886357,2586.318783,15296.325248699999,14500.257514699999
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,4,NA,14,500,6923.442933,75478.953081,4239.915132,143.0633851,200.5237219,757.432492,3200.840382,575.886357,2586.318783,15465.218046,14669.150312
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,5,NA,14,500,7118.4620556,78528.357768,4239.915132,143.0633851,200.5237219,757.432492,3200.840382,575.886357,2586.318783,15660.237168599999,14864.169434599999
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2125.1236099,32468.62458,3647.361372,130.3485295,95.47431016,713.7197005,2382.605647,592.5525379,1972.462855,9094.633169059998,8563.323214459999
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2269.6295552,35275.928961,3647.361372,130.3485295,95.47431016,713.7197005,2382.605647,592.5525379,1972.462855,9239.13911436,8707.82915976
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2440.616189,38225.367935999995,3647.361372,130.3485295,95.47431016,713.7197005,2382.605647,592.5525379,1972.462855,9410.125748159999,8878.81579356
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1691.13655969,25806.781686,3450.246388,124.7612623,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,8552.565151589999,7804.665355889999
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,1803.70677054,28215.162108,3450.246388,124.7612623,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,8665.13536244,7917.23556674
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,1942.53145735,30734.089302,3450.246388,124.7612623,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,8803.96004925,8056.060253549999
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2100.4669625,32039.004459000003,3554.244789,127.6815907,134.8678396,619.9813155,2486.170235,469.9204571,1978.224204,9023.4127323,8365.4058429
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2247.7492356,35012.348742,3554.244789,127.6815907,134.8678396,619.9813155,2486.170235,469.9204571,1978.224204,9170.695005399999,8512.688116
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2419.6445372,38115.923202,3554.244789,127.6815907,134.8678396,619.9813155,2486.170235,469.9204571,1978.224204,9342.590307,8684.583417599999
