house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Real,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,196.6274290387859,2525.132156077758,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,353.5076162,775.5838942,2636.160605,3421.411994,1814.6690723587858,1401.4729071787856,34021.97498392431
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1148.3922769207684,19402.300207433036,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7517.623871920767,7059.327811720767,264275.0259331275
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1287.3573892162997,22298.711426755555,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7656.588984216298,7198.2929240162985,274693.7713263739
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1449.5808372654158,25234.974504637903,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7818.812432265415,7360.5163720654155,285255.8687288285
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1010.4104800317735,16916.942367876603,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6746.060073531775,6143.131744131774,215379.6083339151
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1145.149843847179,19886.79254878942,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6880.799437347179,6277.87110794718,226062.5226537454
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1309.6762048889623,22988.113776428952,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7045.325798388962,6442.397468988962,237218.35440784442
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1039.09896451631,17463.79149147242,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,6939.0309880163095,6480.73492781631,237019.61496921733
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1173.8504874546911,20376.931250719426,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7073.78251095469,6615.486450754691,247498.5349665087
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1331.443427739306,23328.527821193657,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7231.375451239306,6773.079391039306,258115.78881713544
Mass,H1,Real,AK,Hhigh,R,NA,NA,7,NA,NA,881.7618535146786,11135.835785899315,762.7565478000001,34.39267655,4.221680447,40.8013688,0,40.8013688,0,19975.70971,728.390251,14.55723013,86.55247726999998,0,1723.9341271116787,1723.9341271116787,60862.17292703062
Mass,H1,Real,AK,Hhigh,Rb,NA,NA,2,NA,NA,144.89444588479896,1648.7852530191615,239.0053865,10.46295479,1.367578355,12.423650609999997,0,12.423650609999997,0,6248.774369,221.5911942,4.575650373,27.59470672,0,408.15401613979896,408.15401613979896,12433.418125397897
Mass,H1,Real,AK,Hhigh,Rl,NA,NA,5,NA,NA,736.8674076298797,9487.05053288015,523.7511613,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,506.7990568,9.981579754,58.95777055,0,1315.7801109618797,1315.7801109618797,48428.754800629715
Mass,H1,Real,AK,Hlow,HP,NA,NA,NA,6.5,NA,328.40660201610444,2799.5242136790635,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,85.71820780999998,480.35241140000005,32134.63109,581.3213807,1385.819188,6795.395899,7331.117876,3153.216777806105,2213.7853186161046,58298.51641815707
Mass,H1,Real,AK,Hlow,HPl,NA,NA,NA,4.5,NA,290.93613727123267,2525.132156077758,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,353.5076162,775.5838942,2636.160605,3421.411994,1908.9777805912327,1495.7816154112325,34021.97498392431
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1554.7567773821715,19402.300207433036,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7923.9883723821695,7465.69231218217,264275.0259331275
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1715.577159907022,22298.711426755555,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,8084.808754907021,7626.512694707021,274693.7713263739
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1914.0585288719174,25234.974504637903,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,8283.290123871917,7824.9940636719175,285255.8687288285
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1398.0213064462719,16916.942367876603,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7133.670899946272,6530.742570546272,215379.6083339151
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1555.7162089228805,19886.79254878942,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,7291.365802422881,6688.437473022881,226062.5226537454
