house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,kgCO2_total_life,kgCO2_total_life_R,CS_code
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3236.9109561,37328.012673000005,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,10761.59593004,10286.84890884,C0
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3438.7005718,40482.063615,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,10963.38554574,10488.63852454,C0
Mass,H1,Real,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2669.3658699,28964.662356,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9139.1984442,8391.2986485,C0
Mass,H1,Real,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2833.410841,31787.059101,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9303.2434153,8555.3436196,C0
Mass,H1,Real,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3019.6334138,34728.09711,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9489.4659881,8741.5661924,C0
Mass,H1,Real,CH,Hlow,HYD500,HYD500,3,NA,6,500,2736.3490577,30874.565001,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,9258.74846666,8727.43851196,C0
Mass,H1,Real,CH,Hlow,HYD500,HYD500,4,NA,6,500,2913.5029592,33973.150281,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,9435.90236816,8904.592413459999,C0
Mass,H1,Real,CH,Hlow,HYD500,HYD500,5,NA,6,500,3113.8588967,37191.425082,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,9636.25830566,9104.94835096,C0
Mass,H1,Real,CH,Hlow,R,NA,NA,8.5,NA,NA,4195.6377926000005,37756.96134,702.7952139,34.44306432,1.41405529,39.55399412,0,39.55399412,0,4973.844120230001,4973.844120230001,C0
Mass,H1,Real,CH,Hlow,Rb,NA,NA,3.5,NA,NA,1423.35818121,11494.4064123,305.4290313,14.96867304,0.614536822,17.18984118,0,17.18984118,0,1761.5602635520004,1761.5602635520004,C0
Mass,H1,Real,CH,Hlow,Rl,NA,NA,5,NA,NA,2772.2796112,26262.554913,397.36618259999995,19.47439128,0.799518468,22.36415294,0,22.36415294,0,3212.283856488,3212.283856488,C0
Mass,Nom,Ideal,AK,Hhigh,HP,NA,NA,NA,11,NA,1002.2267794,13080.4386594,1534.508245,37.21841809,55.71176471,226.3,1064.823529,49.477212560000005,380.90285050000006,3920.7887362,3060.04527026,C0
Mass,Nom,Ideal,AK,Hhigh,HPl,NA,NA,NA,7,NA,623.76353396,8059.4316159,959.725892,21.23693386,32.11764706,115,725.1176471000001,12.29485961,295.6675564,2476.96165398,1944.80642289,C0
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2285.8766319,34879.614671999996,4501.679554,128.6561994,96.42885561,943.7651551,2382.605647,822.5979924,1972.462855,10339.01204301,9807.70208831,C0
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2432.3354984,37693.519458,4501.679554,128.6561994,96.42885561,943.7651551,2382.605647,822.5979924,1972.462855,10485.47090951,9954.16095481,C0
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2604.4131449,40646.331285,4501.679554,128.6561994,96.42885561,943.7651551,2382.605647,822.5979924,1972.462855,10657.54855601,10126.23860131,C0
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1841.73767267,28107.569973,3450.246388,123.7901182,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,8702.19512047,7954.29532477,C0
