Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Manufacture,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Hyd_Manufacture,Distribution,Installation,EOL,Other,EOL_S,Other_S,Manufacture_MJ,Hyd_Manufacture_MJ_HP,Hyd_Manufacture_MJ_Tank,Hyd_Manufacture_MJ_FC,Hyd_Manufacture_MJ,Distribution_MJ,Installation_MJ,EOL_MJ,Other_MJ
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,HPl,,8.5,,,,1059.270503,,,,,23.36547538,82.96090318,188.6202715,708.0054287,85.91513111,265.1293572,25323.56978,0,0,0,0,494.8490839,1261.516021,5314.749659,4857.171486
Mass-H1-Real,Mass-H1,Mass,H1,CH,HPl,,5,,,,826.9997437,,,,,17.52592378,49.36444433,152.484381,627.1897679,64.91429254,277.0685229,18698.53519,0,0,0,0,371.1752997,836.32541,2970.984237,3600.88193
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,HPl,,5,,,,826.9997437,,,,,17.52592378,49.36444433,152.484381,627.1897679,64.91429254,277.0685229,18698.53519,0,0,0,0,371.1752997,836.32541,2970.984237,3600.88193
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,HPl,,9.5,,,,1125.633577,,,,,25.0339187,92.55989142,198.9448116,731.0956175,96.23967121,268.7770936,27216.43681,0,0,0,0,530.1844508,1382.999053,5984.396923,5216.111359
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,HPl,,9.5,,,,1125.633577,,,,,25.0339187,92.55989142,198.9448116,731.0956175,96.23967121,268.7770936,27216.43681,0,0,0,0,530.1844508,1382.999053,5984.396923,5216.111359
Mod-H1-Real,Mod-H1,Mod,H1,CH,HPl,,7.5,,,,992.9074291,,,,,21.69703207,73.36191493,178.2957314,684.9152399,75.59059101,263.9179236,23430.70276,0,0,0,0,459.513717,1140.032989,4645.102396,4498.231612
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,HPl,,7.5,,,,992.9074291,,,,,21.69703207,73.36191493,178.2957314,684.9152399,75.59059101,263.9179236,23430.70276,0,0,0,0,459.513717,1140.032989,4645.102396,4498.231612
,,,,,,R,,,,135,190.9509894,,,,,3.783646588,4.027399057,22.43667136,0,22.43667136,0,3702.70952,0,0,0,0,93.60426822,55.69049951,17.83232398,0
,,,,,,R,,,,162,216.2027869,,,,,4.116960628,4.559991558,25.40374832,0,25.40374832,0,4192.364332,0,0,0,0,101.8501802,63.05513908,20.19051146,0
,,,,,,R,,,,180,234.8663891,,,,,4.540375906,4.953630649,27.59671475,0,27.59671475,0,4554.268178,0,0,0,0,112.3251219,68.49834382,21.93344771,0
,,,,,,R,,,,216,277.1660528,,,,,5.170983671,5.845784319,32.56690976,0,32.56690976,0,5374.496281,0,0,0,0,127.9258332,80.83496177,25.88368285,0
,,,,,,R,,,,300,407.8978581,,,,,6.558320753,8.603084246,47.92784903,0,47.92784903,0,7909.50226,0,0,0,0,162.2473983,118.9626487,38.09232294,0
,,,,,,R,,,,360,537.5473211,,,,,7.693414729,11.3375562,63.16161347,0,63.16161347,0,10423.52066,0,0,0,0,190.3286787,156.7746724,50.19988643,0
,,,,,,Ro,,,,162,216.2027869,,,,,4.116960628,4.559991558,25.40374832,0,25.40374832,0,4192.364332,0,0,0,0,101.8501802,63.05513908,20.19051146,0
,,,,,,Ro,,,,216,277.1660528,,,,,5.170983671,5.845784319,32.56690976,0,32.56690976,0,5374.496281,0,0,0,0,127.9258332,80.83496177,25.88368285,0
,,,,,,Ro,,,,360,537.5473211,,,,,7.693414729,11.3375562,63.16161347,0,63.16161347,0,10423.52066,0,0,0,0,190.3286787,156.7746724,50.19988643,0
,,,,,,HP,,,,135,517.4042666,,,,,19.34982176,13.95159063,74.17019318,285.3529412,74.17019318,285.3529412,16543.06782,0,0,0,0,409.8029855,92.10192421,741.1764706,285.3529412
,,,,,,HP,,,,162,565.3967994,,,,,22.38243748,16.37334279,78.33376735,285.3529412,78.33376735,285.3529412,17368.3089,0,0,0,0,474.029674,118.5302141,741.1764706,285.3529412
,,,,,,HP,,,,180,597.3918213,,,,,24.40418128,17.98784422,81.10948345,285.3529412,81.10948345,285.3529412,17918.46961,0,0,0,0,516.8474663,136.149074,741.1764706,285.3529412
,,,,,,HP,,,,216,661.3818651,,,,,28.4476689,21.2168471,86.66091567,285.3529412,86.66091567,285.3529412,19018.79105,0,0,0,0,602.4830509,171.3867938,741.1764706,285.3529412
,,,,,,HP,,,,300,810.6919673,,,,,37.88247335,28.75118714,99.6142575,285.3529412,99.6142575,285.3529412,21586.20772,0,0,0,0,802.299415,253.6081401,741.1764706,285.3529412
,,,,,,HP,,,,360,917.3420403,,,,,44.62161938,34.1328586,108.8666445,285.3529412,108.8666445,285.3529412,23420.07678,0,0,0,0,945.0253894,312.3376732,741.1764706,285.3529412
,,,,,,HPo,,,,162,565.3967994,,,,,22.38243748,16.37334279,78.33376735,285.3529412,78.33376735,285.3529412,17368.3089,0,0,0,0,474.029674,118.5302141,741.1764706,285.3529412
,,,,,,HPo,,,,216,661.3818651,,,,,28.4476689,21.2168471,86.66091567,285.3529412,86.66091567,285.3529412,19018.79105,0,0,0,0,602.4830509,171.3867938,741.1764706,285.3529412
,,,,,,HPo,,,,360,917.3420403,,,,,44.62161938,34.1328586,108.8666445,285.3529412,108.8666445,285.3529412,23420.07678,0,0,0,0,945.0253894,312.3376732,741.1764706,285.3529412
,Mass-Nom,Mass,Nom,AK,HYD200,HYD200,8.5,,9,200,3547.781063,1869.654706,0,1678.126358,3547.781063,119.1356268,112.7928873,531.8979026,2365.278806,381.8370443,1912.411335,99952.06721,49760.0022,0,50192.06501,99952.06721,2523.131022,223.3538602,5379.071258,74234.78073
,Mass-Nom,Mass,Nom,AK,HYD200,HYD200,11.2,,12,200,3666.554593,1988.428235,0,1678.126358,3666.554593,123.7682596,120.1701221,576.5686085,2430.948056,406.0073468,1927.793212,101016.583,50824.518,0,50192.06501,101016.583,2621.243902,230.731095,5379.071258,74300.44998
,Mass-Nom,Mass,Nom,AK,HYD200,HYD200,14,,14,200,3745.736946,2067.610588,0,1678.126358,3745.736946,126.8566814,125.0882786,606.3490791,2474.727556,424.8029441,1944.626881,101726.2602,51534.1952,0,50192.06501,101726.2602,2686.652488,235.6492515,5379.071258,74344.22948
