house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1309.0539448991867,17526.5985520008,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7208.985968399185,6750.689908199186,237245.53964737698
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,1448.7275167065075,20442.409335086402,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7348.659540206507,6890.363480006507,247734.06764408777
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,1622.5867542849455,23395.034389350934,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7522.518777784944,7064.222717584945,258355.021076694
Mass,H1,Ideal,AK,Hlow,R,NA,NA,7,NA,NA,1222.4069342504984,11317.613790472351,762.7565478000001,34.39267655,4.221680447,40.8013688,0,40.8013688,0,19975.70971,728.390251,14.55723013,86.55247726999998,0,2064.5792078474983,2064.5792078474983,61516.05064132212
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,219.34391226173727,1814.3390296115833,239.0053865,10.46295479,1.367578355,12.423650609999997,0,12.423650609999997,0,6248.774369,221.5911942,4.575650373,27.59470672,0,482.60348251673724,482.60348251673724,13028.935307385027
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,1003.0630219887611,9503.274760860771,523.7511613,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,506.7990568,9.981579754,58.95777055,0,1581.975725320761,1581.975725320761,48487.1153329341
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8,NA,922.7477333839993,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,84.80252784,473.4802876,33081.0646,598.9890642,1446.560704,7130.219531,7510.587813,3803.080526953999,2839.153898993999,93908.42703690367
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,576.6122223375097,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,64.91429254,277.0685229,18698.53519,371.1752997,836.32541,2970.9842370000006,3600.88193,2250.1764830475095,1812.4851495875096,55118.33290392923
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2176.212858927694,33961.96797018283,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,8904.205787627696,8445.909727427694,330540.4847770296
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2326.510380355677,37111.047744209965,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,9054.503309055679,8596.207248855677,341868.1098634581
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2494.139822083721,40262.973409347505,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,9222.132750783721,8763.836690583721,353205.97196826944
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,1865.9052966598808,28570.852770529444,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,8201.43957615988,7527.723470459881,272428.377730952
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,1991.8985754257214,31386.12611125514,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,8327.43285492572,7653.716749225721,282555.260251548
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2139.1205371532114,34333.47443431575,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,8474.65481665321,7800.938710953211,293157.2326366581
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,1926.358571229377,30418.85844581611,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,8265.426378929376,7762.267817229376,297925.02013144066
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2065.0427996211943,33520.43368169569,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,8404.110607321194,7900.952045621194,309081.7655842449
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2226.3392118424113,36736.55883260742,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,8565.407019542412,8062.248457842411,320650.56109112164
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,2960.8278904558233,40291.66486860519,831.3671301,38.89839479,4.400098522,46.09699423,0,46.09699423,0,21819.789600000004,823.8152535,15.80264864,92.20501295,0,3881.590508097823,3881.590508097823,167685.65880503674
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1109.6445746032794,14038.187304758125,307.6159688,14.96867304,1.545996429,17.71927605,0,17.71927605,0,8092.854267,317.0161967,5.821068885,33.2472424,0,1451.4944889222795,1451.4944889222795,58946.015410805594
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,1851.183315852544,26253.477563847075,523.7511613,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,506.7990568,9.981579754,58.95777055,0,2430.096019184544,2430.096019184544,108739.64340123016
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8,NA,1269.4935527540604,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,84.80252784,473.4802876,33081.0646,598.9890642,1446.560704,7130.219531,7510.587813,4149.82634632406,3185.89971836406,93908.42703690367
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,779.9966151546848,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,64.91429254,277.0685229,18698.53519,371.1752997,836.32541,2970.9842370000006,3600.88193,2453.560875864685,2015.8695424046848,55118.33290392923
