house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,EOL_S_SH,EOL_S_WH,EOL_S,Other_S_SH,Other_S_WH,Other_S,Embodied_life,Total_life,Embodied_life_R,Total_life_R
Mass,H1,Ideal,CH,Hlow,HP-HP,3,1403.77717592,702.89194375,22982.340444,2106.66911967,0.342511423,1248.729155,703.5346516,1952.2638065999997,27.85017653,26.44293308,54.293109609999995,57.68823529,16.67647059,74.36470588,186.0058824,82.37682353,268.38270593,922.7647059,276.7058824,1199.4705883,24.31814684,82.37682353,106.69497036999998,302.1295587,276.7058824,578.8354411,3548.7749163199996,5655.44403599,2766.45203356,4873.12115323
Mass,H1,Ideal,CH,Hlow,HP-HP,4,1403.77717592,923.7860281000001,26698.9219665,2327.56320402,0.342511423,1248.729155,998.0575552,2246.7867102,27.85017653,44.82778668,72.67796321,57.68823529,30.26470588,87.95294117,186.0058824,125.0241176,311.03,922.7647059,276.7058824,1199.4705883,24.31814684,125.0241176,149.34226443999998,302.1295587,276.7058824,578.8354411,3917.9182028799996,6245.4814068999995,3135.59532012,5463.15852414
Mass,H1,Ideal,CH,Hlow,HP-HP,5,1403.77717592,1076.5613937,29176.8649515,2480.33856962,0.342511423,1248.729155,998.0575552,2246.7867102,27.85017653,44.82778668,72.67796321,57.68823529,30.26470588,87.95294117,186.0058824,125.0241176,311.03,922.7647059,276.7058824,1199.4705883,24.31814684,125.0241176,149.34226443999998,302.1295587,276.7058824,578.8354411,3917.9182028799996,6398.256772499999,3135.59532012,5615.933889739999
Mass,H1,Ideal,CH,Hlow,HP-HPo,1,1403.77717592,358.70682988,17842.7350899,1762.4840058,0.342511423,1248.729155,659.3562161,1908.0853710999997,27.85017653,23.68520504,51.535381570000006,57.68823529,14.576470590000001,72.26470588000001,186.0058824,75.97972941,261.98561180999997,922.7647059,276.7058824,1199.4705883,24.31814684,75.97972941,100.29787624999999,302.1295587,276.7058824,578.8354411,3493.3416586599997,5255.82566446,2711.0187759,4473.5027817
Mass,H1,Ideal,CH,Hlow,HP-HPo,2,1403.77717592,518.50444227,20328.7826931,1922.28161819,0.342511423,1248.729155,659.3562161,1908.0853710999997,27.85017653,23.68520504,51.535381570000006,57.68823529,14.576470590000001,72.26470588000001,186.0058824,75.97972941,261.98561180999997,922.7647059,276.7058824,1199.4705883,24.31814684,75.97972941,100.29787624999999,302.1295587,276.7058824,578.8354411,3493.3416586599997,5415.6232768499995,2711.0187759,4633.30039409
Mass,H1,Ideal,CH,Hlow,HP-HPo,3,1403.77717592,728.26977817,23346.959718600003,2132.04695409,0.342511423,1248.729155,791.8915227,2040.6206776999998,27.85017653,31.95838916,59.808565689999995,57.68823529,20.75294118,78.44117647,186.0058824,95.17101176000001,281.17689416,922.7647059,276.7058824,1199.4705883,24.31814684,95.17101176000001,119.48915860000002,302.1295587,276.7058824,578.8354411,3659.517902319999,5791.564856409999,2877.1950195599993,5009.24197365
Mass,H1,Ideal,CH,Hlow,HP-HPo,4,1403.77717592,968.6766466700001,27350.900535,2372.45382259,0.342511423,1248.729155,1145.319007,2394.048162,27.85017653,54.02021348,81.87039001,57.68823529,37.05882353,94.74705881999999,186.0058824,146.3477647,332.3536471,922.7647059,276.7058824,1199.4705883,24.31814684,146.3477647,170.66591154000002,302.1295587,276.7058824,578.8354411,4102.48984623,6474.94366882,3320.16696347,5692.620786060001
Mass,H1,Ideal,CH,Hlow,HP-HPo,5,1403.77717592,1121.62026252,29832.311882100003,2525.39743844,0.342511423,1248.729155,1145.319007,2394.048162,27.85017653,54.02021348,81.87039001,57.68823529,37.05882353,94.74705881999999,186.0058824,146.3477647,332.3536471,922.7647059,276.7058824,1199.4705883,24.31814684,146.3477647,170.66591154000002,302.1295587,276.7058824,578.8354411,4102.48984623,6627.88728467,3320.16696347,5845.56440191
Mass,H1,Ideal,CH,Hlow,HP-R,1,1403.77717592,1282.84747438,33475.949480400006,2686.6246503,0.342511423,1248.729155,210,1458.729155,27.85017653,3.783646588,31.633823117999995,57.68823529,5.311764706,62.999999996,186.0058824,22.23529412,208.24117652,922.7647059,0,922.7647059,24.31814684,22.23529412,46.55344096,302.1295587,0,302.1295587,2684.368860534,5370.993510834,1902.045977774,4588.670628074
Mass,H1,Ideal,CH,Hlow,HP-R,2,1403.77717592,1906.11424296,43481.399480399996,3309.89141888,0.342511423,1248.729155,210,1458.729155,27.85017653,3.783646588,31.633823117999995,57.68823529,5.311764706,62.999999996,186.0058824,22.23529412,208.24117652,922.7647059,0,922.7647059,24.31814684,22.23529412,46.55344096,302.1295587,0,302.1295587,2684.368860534,5994.260279414,1902.045977774,5211.937396654
