hour_of_day,day_of_week,month,kWh
15,1,2,4829000.000000001
16,1,2,4827999.999999999
17,1,2,4941000
18,1,2,5156000
19,1,2,5149000
20,1,2,5022000
21,1,2,4886000
22,1,2,4830999.999999999
23,1,2,4418000
0,1,2,4090000
1,2,2,3822000
2,2,2,3659000
3,2,2,3552000
4,2,2,3504000
5,2,2,3562000.0000000005
6,2,2,3894999.9999999995
7,2,2,4529999.999999999
8,2,2,5146000
9,2,2,5276999.999999999
10,2,2,5314000
11,2,2,5294000.000000001
12,2,2,5332000
13,2,2,5330000
14,2,2,5366000
15,2,2,5407000
16,2,2,5438000
17,2,2,5545000
18,2,2,5571999.999999999
19,2,2,5513000
20,2,2,5316000
21,2,2,5165000
22,2,2,5075000
23,2,2,4655000
0,2,2,4292000
1,3,2,3981000
2,3,2,3801999.9999999995
3,3,2,3698000
4,3,2,3639999.9999999995
5,3,2,3679000.0000000005
6,3,2,3988000
7,3,2,4609999.999999999
8,3,2,5196000
9,3,2,5314999.999999999
10,3,2,5330999.999999999
11,3,2,5343000
12,3,2,5439000
13,3,2,5447000
14,3,2,5428000
15,3,2,5454000.000000001
16,3,2,5447000
17,3,2,5539000
18,3,2,5579000.000000001
19,3,2,5540000
20,3,2,5358000.000000001
21,3,2,5186000
22,3,2,5093000
23,3,2,4670999.999999999
0,3,2,4329000.000000001
1,4,2,4008000
2,4,2,3812999.9999999995
3,4,2,3695999.9999999995
4,4,2,3645000
5,4,2,3689000
6,4,2,3989000
7,4,2,4603000
8,4,2,5231000
9,4,2,5396000
10,4,2,5418000
11,4,2,5337000
12,4,2,5342000.000000001
13,4,2,5352000
14,4,2,5322000
15,4,2,5336000
16,4,2,5303000
17,4,2,5351000
18,4,2,5340000
19,4,2,5241000
20,4,2,5064000
21,4,2,4939000
22,4,2,4892000
23,4,2,4579000.000000001
0,4,2,4308000
1,5,2,3982999.9999999995
2,5,2,3777000
3,5,2,3647000.0000000005
4,5,2,3572000
5,5,2,3574000
6,5,2,3723000
7,5,2,3955999.9999999995
8,5,2,4236000.000000001
9,5,2,4563000.000000001
10,5,2,4846999.999999999
11,5,2,4895000
12,5,2,4898000
13,5,2,4864000.000000001
14,5,2,4794000.000000001
15,5,2,4787000
16,5,2,4763000
17,5,2,4819000
18,5,2,4929000
19,5,2,4889000
20,5,2,4734000
21,5,2,4637000
22,5,2,4584000
23,5,2,4295000
0,5,2,4043000
1,6,2,3769000
2,6,2,3585000
3,6,2,3466000
4,6,2,3378000
5,6,2,3391000
6,6,2,3526000
7,6,2,3704000
8,6,2,3952000
9,6,2,4298999.999999999
10,6,2,4616000
11,6,2,4623000
12,6,2,4586000
13,6,2,4535000
14,6,2,4449000
15,6,2,4449000
16,6,2,4388000
17,6,2,4464000
18,6,2,4638000
19,6,2,4714000
20,6,2,4613000
21,6,2,4586000
22,6,2,4570000
23,6,2,4183000
0,6,2,3879000
1,0,2,3601000
2,0,2,3441000
3,0,2,3351000
4,0,2,3315000
5,0,2,3376000
6,0,2,3716999.9999999995
7,0,2,4414000
8,0,2,5113000
9,0,2,5225000
10,0,2,5212000
11,0,2,5141000
12,0,2,5121000
13,0,2,5087000
14,0,2,5053000
15,0,2,5092000.000000001
16,0,2,5080999.999999999
17,0,2,5153000.000000001
18,0,2,5231999.999999999
19,0,2,5195000
20,0,2,5029000
21,0,2,4901000
22,0,2,4849000
23,0,2,4429000
0,0,2,4086999.9999999995
1,1,2,3788000.0000000005
2,1,2,3609000
3,1,2,3508000
4,1,2,3469000.0000000005
5,1,2,3516000
6,1,2,3852000.0000000005
7,1,2,4496000
8,1,2,5118000
9,1,2,5224000
10,1,2,5212000
11,1,2,5159000.000000001
12,1,2,5167000
13,1,2,5165000
14,1,2,5163000
15,1,2,5179000
16,1,2,5157000
17,1,2,5228000
18,1,2,5268000.000000001
19,1,2,5183999.999999999
20,1,2,5026000
21,1,2,4916000
22,1,2,4860000
23,1,2,4457000
0,1,2,4144999.9999999995
1,2,2,3848000
2,2,2,3666000
3,2,2,3556000
4,2,2,3514999.9999999995
5,2,2,3559999.9999999995
6,2,2,3894000
7,2,2,4534000
8,2,2,5160000
9,2,2,5256000
10,2,2,5250999.999999999
11,2,2,5189000
12,2,2,5221999.999999999
13,2,2,5234000
14,2,2,5209000
15,2,2,5275000
16,2,2,5237000
17,2,2,5366000
18,2,2,5412000
19,2,2,5371000
20,2,2,5200000
21,2,2,5063000.000000001
22,2,2,4984999.999999999
23,2,2,4588000
0,2,2,4250999.999999999
1,3,2,3928000
2,3,2,3752000
3,3,2,3633000
4,3,2,3576000
5,3,2,3622000
6,3,2,3898000
7,3,2,4520000
8,3,2,5144000
9,3,2,5274000
10,3,2,5323000
11,3,2,5308000
12,3,2,5335000
13,3,2,5328000
14,3,2,5382000
15,3,2,5419000.000000001
16,3,2,5416000
17,3,2,5480000
18,3,2,5495000
19,3,2,5452000
20,3,2,5286000
21,3,2,5166000
22,3,2,5070000
23,3,2,4635999.999999999
0,3,2,4291000
1,4,2,3973000
2,4,2,3793000
3,4,2,3663000.0000000005
4,4,2,3601000
5,4,2,3655000.0000000005
6,4,2,3961000.0000000005
7,4,2,4555000
8,4,2,5170000
9,4,2,5337999.999999999
10,4,2,5388000
11,4,2,5348000
12,4,2,5342000.000000001
13,4,2,5355000
14,4,2,5371000
15,4,2,5382000
16,4,2,5304000
17,4,2,5359999.999999999
18,4,2,5327999.999999999
19,4,2,5239000
20,4,2,5084000
21,4,2,4968000
22,4,2,4890000.000000001
23,4,2,4552000
0,4,2,4266000
1,5,2,3949000
2,5,2,3755000
3,5,2,3634000
4,5,2,3561000
5,5,2,3558000
6,5,2,3709000
7,5,2,3944000
8,5,2,4234999.999999999
9,5,2,4561000
10,5,2,4834000
11,5,2,4875000
12,5,2,4878000
13,5,2,4840000
14,5,2,4797000
15,5,2,4801000
16,5,2,4757000
17,5,2,4805999.999999999
18,5,2,4904999.999999999
19,5,2,4907999.999999999
20,5,2,4759000
21,5,2,4681000
22,5,2,4633000
23,5,2,4349000
0,5,2,4106000
1,6,2,3828000
2,6,2,3646000
3,6,2,3529000
4,6,2,3461000.0000000005
5,6,2,3449000
6,6,2,3581000
7,6,2,3778000
8,6,2,4016000
9,6,2,4343999.999999999
10,6,2,4641000
11,6,2,4691000
12,6,2,4689000
13,6,2,4692000
14,6,2,4678000
15,6,2,4702999.999999999
16,6,2,4685000.000000001
17,6,2,4786000
18,6,2,4945000
19,6,2,4987000
20,6,2,4855000
21,6,2,4807000
22,6,2,4724000
23,6,2,4332000
0,6,2,4035000
1,0,2,3765000
2,0,2,3612000
3,0,2,3518000
4,0,2,3485000.0000000005
5,0,2,3549000
6,0,2,3864000
7,0,2,4478999.999999999
8,0,2,5130000
9,0,2,5292999.999999999
10,0,2,5361000
11,0,2,5368000
12,0,2,5433000
13,0,2,5430000
14,0,2,5404000
15,0,2,5453000
16,0,2,5455999.999999999
17,0,2,5521000
18,0,2,5583000
19,0,2,5525000
20,0,2,5310000.000000001
