hour_of_year,Base_2024,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045
104,0,6318.641807,623185.7568,967761.2901,1175167.009,1319231.687,6318.641807,495811.6355,633150.9142,877313.8114,1031236.127
105,0,1688.639947,814944.1454,1041423.824,1200684.593,1313985.003,1688.639947,649446.8517,823990.9023,991254.137,1155890.749
106,0,1225.285356,1137204.528,1354221.394,1516169.384,1657768.966,1225.285356,885213.1984,1150064.072,1304169.385,1538306.363
107,0,1408.668301,1317810.181,1558962.567,1751744.856,1891673.185,1408.668301,1047514.417,1331553.496,1508320.614,1781008.688
108,0,1748.77954,1292997.686,1532913.836,1714791.91,1861557.727,1748.77954,1017753.447,1307197.12,1485019.766,1732993.718
109,0,10926.77898,1214773.007,1460688.633,1656660.491,1796002.09,10926.77898,970994.4137,1232043.093,1408317.32,1663435.7
110,0,11032.545,1281666.869,1554301.526,1768590.929,1919152.156,11032.545,1024653.122,1299667.084,1493294.945,1771661.41
111,0,30257.82714,1316841.873,1575368.772,1796276.032,1963962.548,30257.82714,1053198.964,1344709.54,1520923.151,1798769.953
112,0,84250.1276,1147802.945,1400885.567,1622397.373,1778198.62,84250.1276,946027.8655,1199651.295,1357553.633,1585226.896
113,0,86884.52338,1077453.807,1317763.07,1521038.579,1660102.434,86884.52338,890849.1997,1129884.071,1276482.976,1492972.956
114,0,70642.16521,1182850.979,1376826.631,1548704.217,1718370.763,70642.16521,932051.4941,1230219.553,1341013.863,1569508.44
115,0,91794.07354,1139627.994,1285223.123,1425857.973,1623156.103,91794.07354,867465.5989,1198584.742,1254251.741,1477455.389
116,0,92497.40821,1140596.27,1285818.268,1444287.936,1658788.217,92497.40821,867007.7382,1199971.979,1248299.822,1496900.886
117,0,94451.78381,1190583.562,1384909.199,1576031.364,1792457.02,94451.78381,927830.5222,1250462.526,1350216.623,1568453.912
118,0,88241.40428,1045352.539,1253886.547,1450018.586,1643298.865,88241.40428,831039.9263,1099845.764,1220040.653,1401169.35
119,0,92417.93889,1147997.179,1336891.721,1529161.57,1752143.501,92417.93889,884222.2532,1206940.4,1286147.193,1553882.701
120,0,97821.40003,1115130.049,1268153.723,1424935.974,1655745.296,97821.40003,836938.1808,1177461.461,1230658.823,1456413.673
121,0,98657.56534,1151876.28,1308382.056,1479186.25,1704585.716,98657.56534,875515.4771,1214489.759,1263450.545,1532505.444
122,0,97122.70154,1194757.85,1380926.98,1571730.562,1800489.834,97122.70154,916750.4826,1256721.429,1329031.582,1611740.607
123,0,91813.82546,1175856.977,1364217.399,1554611.039,1786135.097,91813.82546,897022.2122,1235238.579,1308131.921,1595758.244
124,0,78071.66076,1144276.527,1323111.145,1507307.246,1740664.045,78071.66076,865729.5606,1196789.258,1271031.347,1538177.528
125,0,38564.82683,1113022.99,1287425.018,1477065.37,1701672.342,38564.82683,838534.4683,1145603.7,1228025.61,1515454.382
126,0,17354.09249,1081036.572,1220457.019,1357324.256,1536303.66,17354.09249,804235.3922,1103074.295,1166456.063,1451040.393
127,0,19390.14372,1082644.353,1202376.996,1351516.044,1550295.937,19390.14372,805730.7966,1105648.377,1156872.723,1429050.467
128,0,28273.35664,1093778.909,1219164.309,1360017.953,1549283.149,28273.35664,817012.6765,1121218.241,1174465.921,1443315.831
129,0,29164.38592,1053932.562,1172494.498,1279446.978,1444380.215,29164.38592,780901.5897,1081657.157,1133705.729,1372602.824
130,0,12983.65702,1031323.887,1141114.589,1247092.37,1403114.469,12983.65702,764365.844,1050649.013,1101748.734,1346373.878
131,0,7076.072583,941113.4699,1011966.996,1113413.136,1299116.386,7076.072583,678950.1404,957244.5929,990217.637,1170582.995
132,0,9831.620631,925714.6399,994368.1234,1083803.111,1258502.166,9831.620631,666358.6539,943090.2521,972713.2332,1151135.349
133,0,5041.327686,1021596.595,1125732.333,1280896.948,1487730.71,5041.327686,756269.5506,1036862.517,1085407.601,1336268.722
134,0,2395.577488,551526.2673,624331.9222,695871.3989,780231.7108,2395.577488,414551.9342,559327.506,597366.1924,741816.9553
135,0,3356.020783,631907.0328,726021.9753,842978.425,958980.0458,3356.020783,483288.0318,640747.2961,687236.4039,880416.8509
136,0,6850.450254,836774.9819,943052.0352,1074715.405,1234447.566,6850.450254,630330.5481,850141.2255,913477.0236,1093757.335
137,0,1783.199184,820813.2358,975391.8245,1153744.745,1318629.406,1783.199184,640956.1673,830431.7674,937511.3258,1117473.07
138,0,1267.271961,789550.427,944996.4417,1134407.032,1329515.024,1267.271961,598619.8523,799518.1001,891594.133,1108330.342
139,0,1718.649265,1119772.697,1355701.55,1577386.847,1775101.187,1718.649265,873997.7526,1132632.295,1298674.781,1538963.11
140,0,2935.000305,1204831.643,1472103.821,1694572.375,1879023.912,2935.000305,946963.1112,1218910.504,1410170.039,1663173.596
141,0,5544.196047,1114082.685,1422668.997,1646712.044,1810166.421,5544.196047,881104.614,1128403.499,1338655.115,1619818.075
142,0,5115.919352,1049042.673,1457844.128,1711428.1,1935050.631,5115.919352,793945.9211,1064660.006,1332054.927,1626313.527
143,0,12300.71321,1190990.909,1547679.693,1772413.56,1984625.171,12300.71321,904450.6338,1211503.011,1445354.675,1734095.453
144,0,12742.05681,1256540.37,1559322.748,1780427.277,1970488.817,12742.05681,976629.327,1276693.855,1478184.05,1773345.33
145,0,6871.634937,843749.3167,1042261.714,1152350.542,1300577.529,6871.634937,615550.9811,858510.2966,985053.1443,1162268.208
146,0,9716.945639,653932.6714,754924.8202,807366.0442,908934.8763,9716.945639,473512.5631,667603.0204,731362.2171,838526.3402
147,0,13155.96515,487698.1293,563988.0603,619040.8808,707993.3914,13155.96515,357977.4091,500600.1453,548702.6048,623498.05
148,0,28709.56706,437548.4635,519725.2767,572175.5657,645541.7023,28709.56706,331465.5593,457081.6368,507407.2323,565622.8884
149,0,39978.64322,343456.8196,472269.431,541481.5126,607437.1706,39978.64322,270399.1537,367164.037,446774.3611,499219.5251
150,0,32562.35781,245659.1976,347992.4352,405700.8126,457751.4076,32562.35781,195848.5556,264501.8807,327780.2462,365110.332
151,0,62312.08236,404193.2428,606180.3553,731544.7746,812705.1649,62312.08236,347387.0563,438361.0504,573600.7625,621205.2092
152,0,43444.32259,277024.292,486478.1174,623351.9009,707472.2498,43444.32259,246028.4781,300604.4633,445076.0638,486820.9033
153,0,25881.47789,222114.9019,421889.4948,565660.8379,660329.9516,25881.47789,196428.1383,236681.7986,378090.1735,418959.1635
154,0,15813.74017,165099.7082,277694.8206,362194.0669,434985.3749,15813.74017,131222.2649,174875.9596,250239.139,283875.356
155,0,14795.78083,237968.6316,358535.1181,455211.6364,554356.4112,14795.78083,177926.838,248521.6708,327138.65,375612.6651
156,0,12013.9316,253340.4481,516717.007,695443.837,826905.8391,12013.9316,207136.3817,262180.2609,448066.6252,514858.4885
157,0,9885.510424,202497.8685,397166.1611,542792.5575,667412.7711,9885.510424,156029.3494,210151.5187,343437.7357,400055.4726
158,0,12509.8395,196510.3455,431345.3334,590337.4918,735016.5616,12509.8395,140588.802,206085.2195,359980.8851,433722.5682
159,0,13684.02265,167778.2215,489510.9859,692748.8729,871661.6739,13684.02265,113107.2152,178158.7504,387636.3108,480794.8101
160,0,6453.765181,255867.9822,875217.0675,1186470.064,1422643.805,6453.765181,174554.165,264757.2246,679999.3216,846920.9108
161,0,10992.90522,741005.3489,1424539.97,1785180.473,2065818.883,10992.90522,559512.8802,756935.2629,1230566.462,1444568.399
