Northland,Auckland,Waikato,Bay of Plenty,Gisborne,Hawke's Bay,Taranaki,Manawatu-Wanganui,Wellington,Tasman,Nelson,Marlborough,West Coast,Canterbury,Otago,Southland,kWh
0.0,0.0,0.0,656.1677688064769,74.10285849942022,935.3732020010482,0.0,1065.2952360998759,993.6322882721925,-0.0,-0.0,-0.0,-0.0,1920.371595088625,237.74964231486413,-0.0,5882.692591082503
3218.1330224514227,11700.824806136081,6953.769629901208,4343.556306008842,253.17327163491296,3195.7133442036175,2020.5486356638855,2474.965099784395,4497.351974137311,327.81370540643644,482.3160665611093,581.46627745863,0.3954011087971635,3553.443170500012,3058.4608527936325,804.2606782385357,47466.19224198882
6487.580191577769,18610.349987175265,15710.964580571563,10238.424377480978,567.1002947264305,7158.299008642826,5317.142912252611,4644.669721072556,4256.329593661406,810.9379367006483,1193.142292112839,1438.4177828034449,6.054838344455483,11817.58749215823,7455.952966654814,1477.5252479653695,97190.4792239012
8694.12499116146,35238.92560853342,23396.178797890087,15175.102514524,875.9018904707902,11056.188283679294,6361.7766437520295,8108.951528889384,9070.43227506617,2227.7318633297673,3277.6874546532226,3951.4850428242753,63.61666180711739,21752.09777160927,10791.746108845828,1962.2542787169507,162004.20171575306
12694.613241448655,47178.83202787161,25558.78448634084,13644.811454342647,985.7893328830648,12443.257162671043,6685.708188184125,9157.743261119957,9783.634404793414,2761.9384378988357,4063.671718056073,4899.044901322196,63.28188645679137,26204.02407141917,12682.98332427235,2667.3687352784914,191475.48663435932
16625.506199863827,54321.12992808749,37595.57891936913,14751.220050411399,1286.7575312012734,16242.268335277722,9330.233796236782,10552.182271437072,4962.631897376012,3514.3574102804723,5170.714386437251,6233.663472005689,76.17873144365171,29617.255012958412,12677.020091035729,3013.561531563544,225970.25956498546
20701.73506546089,70148.00989380025,16623.101964501908,17157.688950801155,1246.9224100755102,15739.444212780525,11844.13458588355,12138.812660219985,5826.975327850126,4880.042590436831,7180.062663798452,8656.075545660084,117.66669283703818,31659.862485849524,17419.986775073823,3443.8310221373986,244784.35284716703
16204.743946723998,54537.339356549106,24294.764726407513,14452.67798694346,1255.499196796393,15847.705845603436,9063.447185845736,11630.419740350017,5803.857793504361,4765.615508604337,7011.7047852006435,8453.108164442447,93.35143933885051,34729.60518557058,18759.020276703734,3607.4924255338324,230510.35356411838
14055.580010269137,51591.80518303514,17530.752320751963,15474.677127384639,1222.698264296288,15433.671705996208,8757.002210387782,11893.773889751381,7233.003572029176,4346.621133162128,6395.233552480344,7709.908305051512,117.03906974706904,41256.17961024044,12625.221393591946,2811.3458268041927,218454.51317497934
15060.506105736593,52934.81288529755,19286.58338759549,8521.9064418562,1104.9162648433528,13946.95272919399,9008.751812798862,10982.483445305052,4588.703433239523,3064.248081956126,4508.463366484628,5435.272827338571,153.5255155759453,35982.00203762835,7678.6679133195785,2966.5657136239015,195224.36196179368
14526.784024001387,49609.08851771597,7386.961720108777,3302.8712590207338,971.8870712440169,12267.774013333768,6790.358553363584,9082.257141524788,4640.312138847392,1430.8731056308964,2105.260020170048,2538.0404922829994,130.03780829691985,21789.911114178045,3002.882605281691,2769.8499418794945,142345.14952688047
12259.736847980577,26199.24628100053,26446.582872396775,2099.505857819006,623.592615995646,7871.380858710342,5090.352916218239,7538.983218619174,2497.424403664512,1014.0673088254753,1492.0088683128918,1798.7226690969906,96.6342331740857,23294.601811528824,1782.8766311300635,1695.4616420678376,121801.17903654095
8823.409843214478,31079.719514509754,10859.585443409384,2882.5671602931957,336.38315935633284,4246.041235626877,5511.086969922589,3919.429534023481,1004.9069428316874,1023.6150418274858,1506.0565574428988,1815.6581561595729,82.71790626449969,16235.248957519681,4444.286096713861,1326.7921750335959,95097.50469414938
4562.516587893808,9490.606691986874,2530.3557079459065,2300.1500769179092,88.57461092904512,1118.0448246992546,833.2336583365294,1001.9105405176823,306.6052221832601,295.2142347771919,434.35209133201585,523.6422984080681,33.28272725298309,7729.661185949526,4600.582114400374,806.5723435268627,36655.304917057285
