hour_of_year,Reference_2025,Environmental_2025,Reference_2030,Environmental_2030,Reference_2035,Environmental_2035,Reference_2040,Environmental_2040,Reference_2045,Environmental_2045
6692,11269.817400933942,11269.817400933942,243593.40445312602,344840.27424722526,112121.16019688139,155136.11105393147,99845.89363986762,69229.6893626163,77257.6171333042,83084.27352996623
6693,29820.142251111312,29820.142251111312,215904.89784946834,309184.703724662,112768.09342468582,62263.00889766904,29103.186228690243,23620.322377525885,53423.68789818888,56197.23559228548
6694,54139.3822246043,54139.3822246043,105642.6630708269,144540.33508766847,67938.5424937257,75053.55499951827,33126.29032475831,29536.870196007018,28162.28333999054,33866.85199585488
6695,67697.72897059514,67697.72897059514,183590.32299252122,253729.212814444,107407.37497816274,70354.42740650992,25247.381251925257,34400.07218406019,38758.84357714068,54443.23711337682
6696,93887.12043507723,93887.12043507723,240380.25838077068,308864.47542885155,118750.4687662768,102351.91028227448,46366.56124433701,68434.42111424239,36106.91588964468,70293.19108259879
6697,98569.92547683882,98569.92547683882,521530.67578963825,645740.4269560683,179531.764069662,189309.7318373206,121687.65656439468,103418.81979571035,69076.92143421149,72677.81408043837
6698,96367.11242772553,96367.11242772553,827928.4129060543,1067587.1236633589,299512.6503594835,251541.56038001328,166568.73445405095,158068.67800699943,131002.79086554618,158649.0805842231
6699,98790.63227535326,98790.63227535326,751133.1886876447,956730.3008922967,265006.6731998851,241524.40662874572,161450.67023424618,207797.96451836434,108229.75200471887,200268.06176456827
6700,97957.77600086515,97957.77600086515,889571.379015892,1159409.0484816886,331961.04492010747,261463.12771778496,172038.3390689239,216180.00802376567,142313.8442029887,236156.87394301806
6701,99625.1538404852,99625.1538404852,907965.7734650932,1199109.8883383442,355485.1087843276,378505.3543017232,245341.6000486072,263295.2792896619,183759.0927298689,277147.6440949895
6702,99682.64822881093,99682.64822881093,883994.1005610769,1151715.1714037252,331027.6663182824,409916.64519571414,269286.23374865256,279223.96860005317,185724.73242647867,267157.1324580107
