house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,Grid_year,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,11.2,1000,2024,2024,3641.631127,10360.4334,1.292254896,537.3373012,0.147554017,2.844998035,977.6190741,0,0,0,0,12,1947.529412,1090.909091,1193.75,4232.188503,537.3373012,211.60942515000002,3641.631127,1.292254896
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,3,NA,14,200,2024,2024,3088.90245,8801.8,1.0892521020000001,463.1872292,0.149952042,2.849491087,371.0684792,16.508218,11,-253.3240955,74,14,2129.882353,0,1193.75,3323.632353,463.1872292,166.18161765,3088.90245,1.0892521020000001
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,4,NA,14,200,2024,2024,3228.067381,9280.366667,1.066065305,477.2587964,0.147846603,2.874898684,370.3501987,34.46732806,22,-220.884272,86,14,2129.882353,0,1193.75,3323.632353,477.2587964,166.18161765,3228.067381,1.066065305
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,5,NA,14,200,2024,2024,3373.51789,9759.166667,1.176963865,493.8750109,0.146397626,2.892875326,369.6293383,64.20254969,18,-341.8447558,125,14,2129.882353,0,1193.75,3323.632353,493.8750109,166.18161765,3373.51789,1.176963865
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,3,NA,14,500,2024,2024,3185.777837,9068.266667,1.128219838,475.3350711,0.149205342,2.846484322,639.6661565,0,0,0,0,14,2129.882353,409.0909091,1193.75,3732.723262,475.3350711,186.6361631,3185.777837,1.128219838
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,4,NA,14,500,2024,2024,3324.83239,9545.666667,1.112987598,489.5026869,0.147226275,2.871021919,637.8538729,0,0,0,0,14,2129.882353,409.0909091,1193.75,3732.723262,489.5026869,186.6361631,3324.83239,1.112987598
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,5,NA,14,500,2024,2024,3470.289387,10022.83333,1.214556302,506.0370272,0.145819835,2.888183727,636.2272902,0,0,0,0,14,2129.882353,409.0909091,1193.75,3732.723262,506.0370272,186.6361631,3470.289387,1.214556302
Mass,Nom,Ideal,CH,Hlow,R,NA,NA,15.5,NA,NA,2024,2024,6756.827442,6756.827442,2.362481176,1036.512192,0.1534022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.058824,1036.512192,50.3529412,6756.827442,2.362481176
Mass,Nom,Ideal,CH,Hlow,Rb,NA,NA,7,NA,NA,2024,2024,3304.63589,3304.63589,0.653441254,526.6040417,0.159353121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,526.6040417,25.17647059,3304.63589,0.653441254
Mass,Nom,Ideal,CH,Hlow,Rl,NA,NA,8.5,NA,NA,2024,2024,3452.191552,3452.191552,1.709039922,509.9081498,0.147705636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,509.9081498,25.17647059,3452.191552,1.709039922
Mass,Nom,Real,AK,Hhigh,HP,NA,NA,NA,11,NA,2024,2024,537.7658421,2154.041102,0.282427366,55.09739478,0.102456107,4.005537231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267.663289,55.09739478,63.38316445,537.7658421,0.282427366
Mass,Nom,Real,AK,Hhigh,HPl,NA,NA,NA,7,NA,2024,2024,384.0113003,1564.693484,0.208881673,39.14283731,0.101931473,4.074602708,NA,NA,NA,NA,NA,NA,NA,NA,NA,858.0044118,39.14283731,42.900220589999996,384.0113003,0.208881673
