house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,11.2,1000,6097.5894926,86061.892928,4655.4073533,10752.996845900001
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,14,200,5232.5380742,74105.24539,3655.9955883,8888.5336625
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,14,200,5386.5180335,77159.748622,3655.9955883,9042.513621799999
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,14,200,5566.9370902,80357.655268,3655.9955883,9222.9326785
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,14,500,5390.6573564,76033.12057,4105.9955882,9496.6529446
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,14,500,5550.2966888,79092.320714,4105.9955882,9656.292277
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,14,500,5735.9298770000005,82292.374648,4105.9955882,9841.925465200002
Mass,Nom,Ideal,CH,Hhigh,R,NA,NA,15.5,NA,NA,11249.2301745,148650.203724,1107.7647064,12356.9948809
Mass,Nom,Ideal,CH,Hhigh,Rb,NA,NA,7,NA,NA,5592.7126386,72701.98958,553.8823529800001,6146.59499158
Mass,Nom,Ideal,CH,Hhigh,Rl,NA,NA,8.5,NA,NA,5656.5175362,75948.214144,553.8823529800001,6210.39988918
Mass,Nom,Ideal,CH,Hlow,HP,NA,NA,NA,15.5,NA,4592.5366927,43791.25267,2163.2180119,6755.7547046
Mass,Nom,Ideal,CH,Hlow,HPl,NA,NA,NA,8.5,NA,2119.28065924,21211.789665,1092.5720929200002,3211.8527521600004
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,11.2,1000,7738.5372976,79938.377574,4655.4073533,12393.9446509
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,11.2,1000,7934.7657690000005,82949.218154,4655.4073533,12590.1731223
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,11.2,1000,8147.8393577,86061.892928,4655.4073533,12803.246711
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,3,NA,14,200,7093.183861099999,74105.24539,3655.9955883,10749.179449399999
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,4,NA,14,200,7271.7807415,77159.748622,3655.9955883,10927.776329799999
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,5,NA,14,200,7479.8432867,80357.655268,3655.9955883,11135.838875
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,3,NA,14,500,7277.4252764,76033.12057,4105.9955882,11383.4208646
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,4,NA,14,500,7460.2359028,79092.320714,4105.9955882,11566.231491
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,5,NA,14,500,7672.3198461,82292.374648,4105.9955882,11778.3154343
Mass,Nom,Ideal,CH,Hlow,R,NA,NA,15.5,NA,NA,15103.3465487,148650.203724,1107.7647064,16211.111255099999
Mass,Nom,Ideal,CH,Hlow,Rb,NA,NA,7,NA,NA,7755.073661,72701.98958,553.8823529800001,8308.95601398
Mass,Nom,Ideal,CH,Hlow,Rl,NA,NA,8.5,NA,NA,7348.2728884,75948.214144,553.8823529800001,7902.15524138
Mass,Nom,Real,AK,Hhigh,HP,NA,NA,NA,11,NA,938.119721,11830.8485262,1394.4296179,2332.5493389000003
Mass,Nom,Real,AK,Hhigh,HPl,NA,NA,NA,7,NA,660.20121923,8448.2486066,943.80485298,1604.00607221
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2275.0867053,34023.398002,3988.3705884,6263.4572937
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2433.55393635,36965.352666,3988.3705884,6421.92452475
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2616.6744871,40055.95011,3988.3705884,6605.0450755
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1811.56523771,27043.339136000002,3269.7823532,5081.34759091
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,1933.94400123,29565.749488,3269.7823532,5203.72635443
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2084.1542747999997,32217.745757999997,3269.7823532,5353.9366279999995
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2249.135116,33572.85525,3238.3705882,5487.5057042
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2410.1631414,36687.996928,3238.3705882,5648.5337296
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2594.4394857,39940.95435,3238.3705882,5832.8100739
Mass,Nom,Real,AK,Hhigh,R,NA,NA,11,NA,NA,3746.941795,47388.904244000005,1107.7647064,4854.7065014
Mass,Nom,Real,AK,Hhigh,Rb,NA,NA,4,NA,NA,1064.76703929,12965.6475894,553.8823529800001,1618.6493922700001
Mass,Nom,Real,AK,Hhigh,Rl,NA,NA,7,NA,NA,2682.1747559,34423.256647999995,553.8823529800001,3236.05710888
Mass,Nom,Real,AK,Hlow,HP,NA,NA,NA,11,NA,1324.32919096,11830.8485262,1394.4296179,2718.75880886
Mass,Nom,Real,AK,Hlow,HPl,NA,NA,NA,7,NA,929.67919701,8448.2486066,943.80485298,1873.4840499900001
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,3105.4112696,34023.398002,3988.3705884,7093.781858
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,3283.6654518,36965.352666,3988.3705884,7272.036040200001
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,3492.2355298,40055.95011,3988.3705884,7480.6061182
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2519.30821275,27043.339136000002,3269.7823532,5789.09056595
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2662.1665051,29565.749488,3269.7823532,5931.9488583
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,5,NA,11.2,200,2837.7144931,32217.745757999997,3269.7823532,6107.4968463000005
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,3,NA,8.5,500,3086.2110874,33572.85525,3238.3705882,6324.5816756
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,4,NA,8.5,500,3267.869139,36687.996928,3238.3705882,6506.2397272
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,5,NA,8.5,500,3481.3865104,39940.95435,3238.3705882,6719.7570986
Mass,Nom,Real,AK,Hlow,R,NA,NA,11,NA,NA,5284.7399906,47388.904244000005,1107.7647064,6392.504697
Mass,Nom,Real,AK,Hlow,Rb,NA,NA,4,NA,NA,1513.43289997,12965.6475894,553.8823529800001,2067.3152529500003
Mass,Nom,Real,AK,Hlow,Rl,NA,NA,7,NA,NA,3771.3070907,34423.256647999995,553.8823529800001,4325.18944368
Mass,Nom,Real,CH,Hhigh,HP,NA,NA,NA,15.5,NA,2777.1608131,34682.742138,2163.2180119,4940.378825
Mass,Nom,Real,CH,Hhigh,HPl,NA,NA,NA,8.5,NA,1631.45354771,21261.623416,1092.5720929200002,2724.0256406300005
Mass,Nom,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,11.2,1000,4866.2393408,67111.03487,4655.4073533,9521.6466941
