house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,CS_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,Crenew,NA,5,1000,2228.22831266742,39982.539004913306,3947.1205884,6175.34890106742
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,C0,NA,5,1000,2978.2726155153864,43868.67048047704,3947.1205884,6925.393203915386
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,Cpeak,NA,5,1000,2971.7815984116232,43843.91984853197,3947.1205884,6918.902186811623
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,Crenew,NA,5,1000,2409.373371326548,43275.23455096866,3947.1205884,6356.4939597265475
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,C0,NA,11.2,200,2249.253608549356,31749.620233814523,3228.5323532,5477.785961749356
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,Cpeak,NA,11.2,200,2245.4423912068614,31736.532805841634,3228.5323532,5473.974744406862
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,Crenew,NA,11.2,200,2194.7148411726366,31731.334299826965,3228.5323532,5423.247194372637
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,C0,NA,11.2,200,2403.1131603699823,34716.25291215367,3228.5323532,5631.6455135699825
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,Cpeak,NA,11.2,200,2399.2288966761407,34703.95000112781,3228.5323532,5627.761249876141
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,Crenew,NA,11.2,200,2352.3973229495623,34713.45828094531,3228.5323532,5580.9296761495625
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,C0,NA,11.2,200,2579.700686003338,37804.16902825506,3228.5323532,5808.233039203338
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,Cpeak,NA,11.2,200,2573.6704295129043,37777.75560873426,3228.5323532,5802.202782712904
